==> Using greedy
============== test case ==============
==> num_coins: 1
==> num_enemies: 0
==> num_obstacles: 0
==> In case 0, the algorithm got 0.8179069375972307.
==> In case 1, the algorithm got 0.6964132180495735.
==> In case 2, the algorithm got 0.5639051904523876.
==> In case 3, the algorithm got 0.44304798162617254.
==> In case 4, the algorithm got 0.5639051904523876.
==> In case 5, the algorithm got 0.6622820409839835.
==> In case 6, the algorithm got 0.5203405226503064.
==> In case 7, the algorithm got 0.44304798162617254.
==> In case 8, the algorithm got 0.6964132180495735.
==> In case 9, the algorithm got 0.6111172395328651.
==> In case 10, the algorithm got 0.7778213593991465.
==> In case 11, the algorithm got 0.7177305325982748.
==> In case 12, the algorithm got 0.6111172395328651.
==> In case 13, the algorithm got 0.8179069375972307.
==> In case 14, the algorithm got 0.7778213593991465.
==> In case 15, the algorithm got 0.7778213593991465.
==> In case 16, the algorithm got 0.7177305325982748.
==> In case 17, the algorithm got 0.44304798162617254.
==> In case 18, the algorithm got 0.6622820409839835.
==> In case 19, the algorithm got 0.6111172395328651.
==> In case 20, the algorithm got 0.5639051904523876.
==> In case 21, the algorithm got 0.4801414565714212.
==> In case 22, the algorithm got 0.8429431933839266.
==> In case 23, the algorithm got 0.7547192872036325.
==> In case 24, the algorithm got 0.5639051904523876.
==> In case 25, the algorithm got 0.6622820409839835.
==> In case 26, the algorithm got 0.9135172474836407.
==> In case 27, the algorithm got 0.8429431933839266.
==> In case 28, the algorithm got 0.8429431933839266.
==> In case 29, the algorithm got 0.5203405226503064.
==> In case 30, the algorithm got 0.6111172395328651.
==> In case 31, the algorithm got 0.6622820409839835.
==> In case 32, the algorithm got 0.6111172395328651.
==> In case 33, the algorithm got 0.7778213593991465.
==> In case 34, the algorithm got 0.7778213593991465.
==> In case 35, the algorithm got 0.5639051904523876.
==> In case 36, the algorithm got 0.6111172395328651.
==> In case 37, the algorithm got 0.7778213593991465.
==> In case 38, the algorithm got 0.9135172474836407.
==> In case 39, the algorithm got 0.6111172395328651.
==> In case 40, the algorithm got 0.5639051904523876.
==> In case 41, the algorithm got 0.5639051904523876.
==> In case 42, the algorithm got 0.7547192872036325.
==> In case 43, the algorithm got 0.8179069375972307.
==> In case 44, the algorithm got 0.6111172395328651.
==> In case 45, the algorithm got 0.7177305325982748.
==> In case 46, the algorithm got 0.6622820409839835.
==> In case 47, the algorithm got 0.4801414565714212.
==> In case 48, the algorithm got 0.8179069375972307.
==> In case 49, the algorithm got 0.7177305325982748.
==> In case 50, the algorithm got 0.9135172474836407.
==> In case 51, the algorithm got 0.8863848717161291.
==> In case 52, the algorithm got 0.7778213593991465.
==> In case 53, the algorithm got 0.37723664692350434.
==> In case 54, the algorithm got 0.6111172395328651.
==> In case 55, the algorithm got 0.7547192872036325.
==> In case 56, the algorithm got 0.8429431933839266.
==> In case 57, the algorithm got 0.8429431933839266.
==> In case 58, the algorithm got 0.40882017442254937.
==> In case 59, the algorithm got 0.5203405226503064.
==> In case 60, the algorithm got 0.7778213593991465.
==> In case 61, the algorithm got 0.6622820409839835.
==> In case 62, the algorithm got 0.7177305325982748.
==> In case 63, the algorithm got 0.9135172474836407.
==> In case 64, the algorithm got 0.6622820409839835.
==> In case 65, the algorithm got 0.4801414565714212.
==> In case 66, the algorithm got 0.5203405226503064.
==> In case 67, the algorithm got 0.6111172395328651.
==> In case 68, the algorithm got 0.8429431933839266.
==> In case 69, the algorithm got 0.6622820409839835.
==> In case 70, the algorithm got 0.6111172395328651.
==> In case 71, the algorithm got 0.6111172395328651.
==> In case 72, the algorithm got 0.6622820409839835.
==> In case 73, the algorithm got 0.8429431933839266.
==> In case 74, the algorithm got 0.4801414565714212.
==> In case 75, the algorithm got 0.40882017442254937.
==> In case 76, the algorithm got 0.5639051904523876.
==> In case 77, the algorithm got 0.6111172395328651.
==> In case 78, the algorithm got 0.7547192872036325.
==> In case 79, the algorithm got 0.6622820409839835.
==> In case 80, the algorithm got 0.5203405226503064.
==> In case 81, the algorithm got 0.6622820409839835.
==> In case 82, the algorithm got 0.8863848717161291.
==> In case 83, the algorithm got 0.8863848717161291.
==> In case 84, the algorithm got 0.7547192872036325.
==> In case 85, the algorithm got 0.6964132180495735.
==> In case 86, the algorithm got 0.9135172474836407.
==> In case 87, the algorithm got 0.7177305325982748.
==> In case 88, the algorithm got 0.5639051904523876.
==> In case 89, the algorithm got 0.8179069375972307.
==> In case 90, the algorithm got 0.6111172395328651.
==> In case 91, the algorithm got 0.6111172395328651.
==> In case 92, the algorithm got 0.7547192872036325.
==> In case 93, the algorithm got 0.6111172395328651.
==> In case 94, the algorithm got 0.8429431933839266.
==> In case 95, the algorithm got 0.8429431933839266.
